ventas	facebook	periodico	instagram	tv	ebay	Region
17.1	215.4	57.6	23.6	190	158.4	4
15	284.3	6.4	10.6	458	1851.3	3
8.4	50	18.4	11.6	705	1929	2
14.5	164.5	47.4	20.9	870	1539.5	2
7.6	19.6	17	20.1	759	427.6	2
11.7	168.4	12.8	7.1	837	94.4	4
11.5	222.4	13.1	3.4	468	898.4	4
27	276.9	41.8	48.9	700	1073.9	1
20.2	248.4	20.3	30.2	108	2018.4	1
11.7	170.2	35.2	7.8	166	1089.2	2
11.8	276.7	23.7	2.3	629	1050.7	4
12.6	165.6	17.6	10	527	2123.6	3
10.5	156.6	8.3	2.6	888	579.6	3
12.2	218.5	27.4	5.4	1	1286.5	2
8.7	56.2	29.7	5.7	450	1044.2	1
26.2	287.6	71.8	43	162	2277.6	3
17.6	253.8	30	21.3	603	228.8	1
22.6	205	19.6	45.1	460	1006	2
10.3	139.5	26.6	2.1	98	2096.5	4
17.3	191.1	18.2	28.7	84	2113.1	1
15.9	286	3.7	13.9	77	1855	1
6.7	18.7	23.4	12.1	737	309.7	1
10.8	39.5	5.8	41.1	767	872.5	3
9.9	75.5	6	10.8	453	318.5	2
5.9	17.2	31.6	4.1	615	711.2	2
19.6	166.8	3.6	42	161	2080.8	1
17.3	149.7	6	35.6	320	1094.7	3
7.6	38.2	13.8	3.7	597	366.2	2
9.7	94.2	8.1	4.9	10	1280.2	4
12.8	177	6.4	9.3	688	231	1
25.5	283.6	66.2	42	89	380.6	3
13.4	232.1	8.7	8.6	635	784.1	3
